1.0
 
[-1.12593827e-02 -1.99943429e+01],[ 5.60170762e-03 -1.99943936e+01],[ -0.04600922 -19.98608622]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406241 0.41395865]
[0.34999995 0.22914294],[0.75000003 0.2603929 ],[0.66406229 0.41390858]
[0.34999991 0.22907281],[0.75000004 0.26032278],[0.66406213 0.41383849]
[0.34999986 0.22898266],[0.75000007 0.26023263],[0.66406192 0.41374837]
[0.3499998  0.22887247],[0.7500001  0.26012244],[0.66406167 0.41363823]
[0.34999972 0.22874225],[0.75000014 0.25999222],[0.66406137 0.41350806]
[0.34999964 0.22859199],[0.75000018 0.25984196],[0.66406103 0.41335786]
[0.34999954 0.2284217 ],[0.75000023 0.25967166],[0.66406064 0.41318764]
[0.34999944 0.22823137],[0.75000028 0.25948134],[0.6640602  0.41299739]
[0.34999932 0.22802101],[0.75000034 0.25927098],[0.66405971 0.41278712]
[0.34999919 0.22779061],[0.7500004  0.25904058],[0.66405918 0.41255682]
[0.34999905 0.22754018],[0.75000047 0.25879015],[0.66405861 0.41230649]
[0.3499989  0.22726972],[0.75000055 0.25851968],[0.66405799 0.41203614]
[0.34999873 0.22697922],[0.75000063 0.25822918],[0.66405732 0.41174576]
[0.34999856 0.22666869],[0.75000072 0.25791865],[0.66405661 0.41143535]
[0.34999837 0.22633812],[0.75000081 0.25758808],[0.66405585 0.41110492]
[0.34999817 0.22598752],[0.75000091 0.25723748],[0.66405504 0.41075447]
[0.34999797 0.22561688],[0.75000101 0.25686684],[0.66405419 0.41038398]
[0.34999775 0.22522621],[0.75000112 0.25647617],[0.66405329 0.40999347]
[0.34999752 0.22481551],[0.75000124 0.25606546],[0.66405235 0.40958294]
[0.34999727 0.22438477],[0.75000136 0.25563472],[0.66405136 0.40915238]
[0.34999702 0.22393399],[0.75000148 0.25518395],[0.66405032 0.40870179]
[0.34999675 0.22346318],[0.75000161 0.25471314],[0.66404924 0.40823117]
[0.34999648 0.22297234],[0.75000175 0.25422229],[0.66404811 0.40774053]
[0.34999619 0.22246146],[0.75000189 0.25371142],[0.66404694 0.40722987]
[0.34999589 0.22193055],[0.75000204 0.2531805 ],[0.66404572 0.40669917]
[0.34999558 0.22137961],[0.7500022  0.25262956],[0.66404445 0.40614845]
[0.34999526 0.22080863],[0.75000236 0.25205857],[0.66404314 0.40557771]
[0.34999493 0.22021761],[0.75000252 0.25146756],[0.66404178 0.40498694]
[0.34999459 0.21960656],[0.75000269 0.25085651],[0.66404037 0.40437614]
[0.34999423 0.21897548],[0.75000287 0.25022542],[0.66403892 0.40374532]
[0.34999386 0.21832436],[0.75000305 0.2495743 ],[0.66403743 0.40309447]
[0.34999349 0.21765321],[0.75000324 0.24890315],[0.66403588 0.40242359]
[0.3499931  0.21696202],[0.75000343 0.24821196],[0.6640343  0.40173269]
[0.3499927 0.2162508],[0.75000363 0.24750074],[0.66403266 0.40102176]
[0.34999229 0.21551954],[0.75000384 0.24676948],[0.66403098 0.40029081]
[0.34999186 0.21476825],[0.75000405 0.24601819],[0.66402925 0.39953983]
[0.34999143 0.21399693],[0.75000426 0.24524686],[0.66402748 0.39876882]
[0.34999098 0.21320557],[0.75000449 0.2444555 ],[0.66402566 0.39797779]
[0.34999053 0.21239418],[0.75000471 0.24364411],[0.6640238  0.39716673]
[0.34999006 0.21156275],[0.75000494 0.24281268],[0.66402189 0.39633565]
[0.34998958 0.21071129],[0.75000518 0.24196121],[0.66401993 0.39548454]
[0.34998909 0.20983979],[0.75000543 0.24108971],[0.66401793 0.3946134 ]
[0.34998859 0.20894826],[0.75000568 0.24019818],[0.66401588 0.39372224]
