1.0
 
[-6.23628679e-03 -1.99971211e+01],[ 3.02395808e-03 -1.99971709e+01],[ -0.02446732 -19.99293092]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919302],[0.75000001 0.26044299],[0.66406245 0.41395863]
[0.34999997 0.22914292],[0.75000001 0.26039289],[0.66406239 0.41390855]
[0.34999995 0.22907279],[0.75000002 0.26032276],[0.6640623  0.41383844]
[0.34999992 0.22898263],[0.75000004 0.26023259],[0.66406219 0.41374829]
[0.34999989 0.22887242],[0.75000005 0.26012239],[0.66406206 0.41363811]
[0.34999985 0.22874218],[0.75000007 0.25999215],[0.6640619  0.41350789]
[0.3499998 0.2285919],[0.7500001  0.25984187],[0.66406172 0.41335764]
[0.34999975 0.22842158],[0.75000012 0.25967155],[0.66406151 0.41318736]
[0.34999969 0.22823123],[0.75000015 0.2594812 ],[0.66406128 0.41299705]
[0.34999962 0.22802084],[0.75000018 0.25927081],[0.66406102 0.4127867 ]
[0.34999955 0.22779041],[0.75000022 0.25904038],[0.66406074 0.41255632]
[0.34999947 0.22753995],[0.75000026 0.25878991],[0.66406043 0.41230591]
[0.34999939 0.22726945],[0.7500003  0.25851941],[0.6640601  0.41203547]
[0.3499993  0.22697891],[0.75000034 0.25822887],[0.66405975 0.41174499]
[0.3499992  0.22666833],[0.75000039 0.25791829],[0.66405937 0.41143448]
[0.3499991  0.22633772],[0.75000044 0.25758768],[0.66405897 0.41110393]
[0.34999899 0.22598707],[0.75000049 0.25723703],[0.66405854 0.41075335]
[0.34999887 0.22561638],[0.75000055 0.25686634],[0.66405808 0.41038274]
[0.34999875 0.22522565],[0.7500006  0.25647561],[0.66405761 0.4099921 ]
[0.34999862 0.22481489],[0.75000067 0.25606485],[0.66405711 0.40958142]
[0.34999849 0.22438409],[0.75000073 0.25563405],[0.66405658 0.40915072]
[0.34999835 0.22393326],[0.7500008  0.25518321],[0.66405603 0.40869997]
[0.3499982  0.22346238],[0.75000087 0.25471234],[0.66405545 0.4082292 ]
[0.34999805 0.22297147],[0.75000094 0.25422142],[0.66405486 0.40773839]
[0.34999789 0.22246052],[0.75000102 0.25371048],[0.66405423 0.40722755]
[0.34999773 0.22192954],[0.7500011  0.25317949],[0.66405358 0.40669667]
[0.34999756 0.22137851],[0.75000119 0.25262846],[0.66405291 0.40614577]
[0.34999738 0.22080745],[0.75000127 0.2520574 ],[0.66405221 0.40557483]
[0.34999719 0.22021636],[0.75000136 0.25146631],[0.66405149 0.40498385]
[0.349997   0.21960522],[0.75000145 0.25085517],[0.66405075 0.40437285]
[0.34999681 0.21897405],[0.75000155 0.250224  ],[0.66404998 0.40374181]
[0.3499966  0.21832284],[0.75000165 0.24957279],[0.66404918 0.40309073]
[0.3499964 0.2176516],[0.75000175 0.24890154],[0.66404836 0.40241963]
[0.34999618 0.21696032],[0.75000185 0.24821026],[0.66404752 0.40172849]
[0.34999596 0.216249  ],[0.75000196 0.24749893],[0.66404665 0.40101732]
[0.34999573 0.21551764],[0.75000207 0.24676757],[0.66404576 0.40028612]
[0.3499955  0.21476624],[0.75000218 0.24601618],[0.66404484 0.39953488]
[0.34999526 0.21399481],[0.7500023  0.24524474],[0.6640439  0.39876361]
[0.34999501 0.21320334],[0.75000242 0.24445327],[0.66404293 0.3979723 ]
[0.34999476 0.21239184],[0.75000254 0.24364177],[0.66404194 0.39716097]
[0.3499945 0.2115603],[0.75000267 0.24281022],[0.66404092 0.3963296 ]
[0.34999423 0.21070871],[0.7500028  0.24195864],[0.66403988 0.3954782 ]
[0.34999396 0.2098371 ],[0.75000293 0.24108702],[0.66403882 0.39460676]
[0.34999369 0.20894544],[0.75000306 0.24019536],[0.66403773 0.39371529]
