1.0
 
[-2.84526070e-03 -1.99989965e+01],[ 1.28369317e-03 -1.99990458e+01],[-9.91904785e-03 -1.99975526e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406248 0.41395862]
[0.34999999 0.22914291],[0.75000001 0.26039288],[0.66406246 0.41390853]
[0.34999998 0.22907278],[0.75000001 0.26032275],[0.66406242 0.4138384 ]
[0.34999996 0.2289826 ],[0.75000002 0.26023257],[0.66406238 0.41374823]
[0.34999995 0.22887239],[0.75000002 0.26012236],[0.66406232 0.41363802]
[0.34999993 0.22874213],[0.75000003 0.2599921 ],[0.66406226 0.41350778]
[0.34999991 0.22859184],[0.75000004 0.25984181],[0.66406218 0.4133575 ]
[0.34999989 0.22842151],[0.75000005 0.25967148],[0.6640621  0.41318718]
[0.34999986 0.22823114],[0.75000006 0.2594811 ],[0.66406201 0.41299682]
[0.34999983 0.22802073],[0.75000008 0.25927069],[0.6640619  0.41278642]
[0.3499998  0.22779028],[0.75000009 0.25904024],[0.66406179 0.41255599]
[0.34999976 0.22753979],[0.75000011 0.25878976],[0.66406166 0.41230552]
[0.34999972 0.22726926],[0.75000013 0.25851923],[0.66406153 0.41203501]
[0.34999968 0.2269787 ],[0.75000014 0.25822866],[0.66406139 0.41174447]
[0.34999964 0.22666809],[0.75000016 0.25791805],[0.66406123 0.41143388]
[0.34999959 0.22633745],[0.75000018 0.25758741],[0.66406107 0.41110326]
[0.34999954 0.22598676],[0.75000021 0.25723672],[0.6640609 0.4107526]
[0.34999949 0.22561604],[0.75000023 0.256866  ],[0.66406072 0.41038191]
[0.34999943 0.22522528],[0.75000026 0.25647524],[0.66406052 0.40999118]
[0.34999937 0.22481448],[0.75000028 0.25606444],[0.66406032 0.4095804 ]
[0.34999931 0.22438364],[0.75000031 0.2556336 ],[0.66406011 0.40914959]
[0.34999925 0.22393276],[0.75000034 0.25518272],[0.66405989 0.40869875]
[0.34999918 0.22346184],[0.75000037 0.2547118 ],[0.66405965 0.40822786]
[0.34999911 0.22297088],[0.7500004  0.25422084],[0.66405941 0.40773694]
[0.34999904 0.22245989],[0.75000043 0.25370984],[0.66405916 0.40722598]
[0.34999897 0.22192885],[0.75000047 0.2531788 ],[0.6640589  0.40669499]
[0.34999889 0.22137778],[0.7500005  0.25262773],[0.66405863 0.40614395]
[0.34999881 0.22080666],[0.75000054 0.25205661],[0.66405834 0.40557288]
[0.34999872 0.22021551],[0.75000058 0.25146546],[0.66405805 0.40498177]
[0.34999864 0.21960432],[0.75000061 0.25085427],[0.66405775 0.40437062]
[0.34999855 0.21897309],[0.75000066 0.25022304],[0.66405744 0.40373944]
[0.34999845 0.21832182],[0.7500007  0.24957176],[0.66405712 0.40308821]
[0.34999836 0.21765051],[0.75000074 0.24890045],[0.66405679 0.40241695]
[0.34999826 0.21695916],[0.75000078 0.2482091 ],[0.66405645 0.40172565]
[0.34999816 0.21624778],[0.75000083 0.24749772],[0.66405609 0.40101432]
[0.34999806 0.21551635],[0.75000088 0.24676629],[0.66405573 0.40028295]
[0.34999795 0.21476489],[0.75000092 0.24601482],[0.66405536 0.39953153]
[0.34999784 0.21399338],[0.75000097 0.24524332],[0.66405498 0.39876009]
[0.34999773 0.21320184],[0.75000102 0.24445177],[0.66405459 0.3979686 ]
[0.34999761 0.21239026],[0.75000108 0.24364019],[0.66405419 0.39715708]
[0.3499975  0.21155864],[0.75000113 0.24280856],[0.66405378 0.39632551]
[0.34999738 0.21070698],[0.75000118 0.2419569 ],[0.66405336 0.39547392]
[0.34999725 0.20983528],[0.75000124 0.2410852 ],[0.66405293 0.39460228]
[0.34999713 0.20894354],[0.7500013  0.24019346],[0.66405249 0.3937106 ]
