1.0
 
[-3.85004811e-03 -1.99984409e+01],[ 1.79937483e-03 -1.99984903e+01],[-1.42302761e-02 -1.99961831e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406247 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406244 0.41390854]
[0.34999997 0.22907278],[0.75000001 0.26032275],[0.66406239 0.41383841]
[0.34999995 0.22898261],[0.75000002 0.26023258],[0.66406232 0.41374825]
[0.34999993 0.2288724 ],[0.75000003 0.26012237],[0.66406224 0.41363805]
[0.34999991 0.22874215],[0.75000004 0.25999212],[0.66406215 0.41350781]
[0.34999988 0.22859186],[0.75000006 0.25984183],[0.66406205 0.41335754]
[0.34999984 0.22842153],[0.75000007 0.2596715 ],[0.66406192 0.41318723]
[0.34999981 0.22823116],[0.75000009 0.25948113],[0.66406179 0.41299689]
[0.34999977 0.22802076],[0.75000011 0.25927073],[0.66406164 0.41278651]
[0.34999972 0.22779032],[0.75000013 0.25904028],[0.66406148 0.41255609]
[0.34999968 0.22753984],[0.75000015 0.2587898 ],[0.6640613  0.41230564]
[0.34999962 0.22726932],[0.75000018 0.25851928],[0.66406111 0.41203515]
[0.34999957 0.22697876],[0.7500002  0.25822872],[0.6640609  0.41174462]
[0.34999951 0.22666816],[0.75000023 0.25791813],[0.66406068 0.41143406]
[0.34999944 0.22633753],[0.75000026 0.25758749],[0.66406045 0.41110346]
[0.34999938 0.22598685],[0.75000029 0.25723681],[0.6640602  0.41075283]
[0.34999931 0.22561614],[0.75000032 0.2568661 ],[0.66405994 0.41038216]
[0.34999923 0.22522539],[0.75000036 0.25647535],[0.66405966 0.40999145]
[0.34999915 0.2248146 ],[0.7500004  0.25606456],[0.66405937 0.40958071]
[0.34999907 0.22438377],[0.75000043 0.25563373],[0.66405906 0.40914993]
[0.34999898 0.22393291],[0.75000048 0.25518286],[0.66405874 0.40869911]
[0.34999889 0.223462  ],[0.75000052 0.25471196],[0.66405841 0.40822826]
[0.3499988  0.22297106],[0.75000056 0.25422101],[0.66405806 0.40773737]
[0.3499987  0.22246008],[0.75000061 0.25371003],[0.6640577  0.40722645]
[0.3499986  0.22192906],[0.75000065 0.25317901],[0.66405732 0.40669549]
[0.34999849 0.221378  ],[0.7500007  0.25262795],[0.66405693 0.40614449]
[0.34999838 0.2208069 ],[0.75000076 0.25205685],[0.66405653 0.40557346]
[0.34999827 0.22021576],[0.75000081 0.25146571],[0.66405611 0.40498239]
[0.34999815 0.21960459],[0.75000086 0.25085453],[0.66405567 0.40437128]
[0.34999803 0.21897338],[0.75000092 0.25022332],[0.66405523 0.40374014]
[0.34999791 0.21832212],[0.75000098 0.24957207],[0.66405477 0.40308896]
[0.34999778 0.21765083],[0.75000104 0.24890078],[0.66405429 0.40241775]
[0.34999764 0.21695951],[0.7500011  0.24820945],[0.6640538 0.4017265]
[0.34999751 0.21624814],[0.75000116 0.24749808],[0.6640533  0.40101521]
[0.34999737 0.21551673],[0.75000123 0.24676667],[0.66405278 0.40028389]
[0.34999722 0.21476529],[0.7500013  0.24601522],[0.66405224 0.39953253]
[0.34999708 0.21399381],[0.75000137 0.24524374],[0.6640517  0.39876113]
[0.34999692 0.21320229],[0.75000144 0.24445222],[0.66405114 0.3979697 ]
[0.34999677 0.21239073],[0.75000151 0.24364066],[0.66405056 0.39715823]
[0.34999661 0.21155913],[0.75000158 0.24280906],[0.66404997 0.39632673]
[0.34999645 0.21070749],[0.75000166 0.24195742],[0.66404937 0.39547518]
[0.34999628 0.20983582],[0.75000174 0.24108574],[0.66404875 0.39460361]
[0.34999611 0.2089441 ],[0.75000182 0.24019402],[0.66404812 0.39371199]
