1.0
 
[-1.46363089e-03 -1.99997606e+01],[ 5.74436626e-04 -1.99998099e+01],[-3.99024697e-03 -1.99994361e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.66406249 0.41395862]
[0.34999999 0.22914291],[0.75       0.26039288],[0.66406248 0.41390852]
[0.34999999 0.22907277],[0.75       0.26032274],[0.66406247 0.41383838]
[0.34999998 0.22898259],[0.75000001 0.26023256],[0.66406245 0.41374821]
[0.34999997 0.22887237],[0.75000001 0.26012234],[0.66406243 0.41363799]
[0.34999996 0.22874211],[0.75000001 0.25999208],[0.6640624  0.41350773]
[0.34999995 0.22859182],[0.75000002 0.25984178],[0.66406237 0.41335744]
[0.34999994 0.22842148],[0.75000002 0.25967144],[0.66406234 0.4131871 ]
[0.34999993 0.2282311 ],[0.75000003 0.25948107],[0.6640623  0.41299672]
[0.34999991 0.22802068],[0.75000003 0.25927065],[0.66406226 0.41278631]
[0.3499999  0.22779022],[0.75000004 0.25904019],[0.66406222 0.41255586]
[0.34999988 0.22753972],[0.75000005 0.25878969],[0.66406217 0.41230536]
[0.34999986 0.22726919],[0.75000006 0.25851915],[0.66406211 0.41203483]
[0.34999984 0.22697861],[0.75000006 0.25822857],[0.66406206 0.41174425]
[0.34999981 0.22666799],[0.75000007 0.25791796],[0.664062   0.41143364]
[0.34999979 0.22633733],[0.75000008 0.2575873 ],[0.66406193 0.41110299]
[0.34999976 0.22598664],[0.75000009 0.2572366 ],[0.66406186 0.4107523 ]
[0.34999974 0.2256159 ],[0.7500001  0.25686586],[0.66406179 0.41038157]
[0.34999971 0.22522512],[0.75000011 0.25647508],[0.66406171 0.4099908 ]
[0.34999968 0.22481431],[0.75000013 0.25606427],[0.66406163 0.40957999]
[0.34999965 0.22438345],[0.75000014 0.25563341],[0.66406155 0.40914914]
[0.34999962 0.22393256],[0.75000015 0.25518251],[0.66406146 0.40869825]
[0.34999958 0.22346162],[0.75000016 0.25471158],[0.66406136 0.40822732]
[0.34999955 0.22297064],[0.75000018 0.2542206 ],[0.66406127 0.40773635]
[0.34999951 0.22245963],[0.75000019 0.25370958],[0.66406117 0.40722534]
[0.34999947 0.22192857],[0.75000021 0.25317852],[0.66406106 0.4066943 ]
[0.34999943 0.22137748],[0.75000022 0.25262743],[0.66406095 0.40614321]
[0.34999939 0.22080634],[0.75000024 0.25205629],[0.66406084 0.40557209]
[0.34999935 0.22021517],[0.75000026 0.25146512],[0.66406073 0.40498092]
[0.3499993  0.21960395],[0.75000027 0.2508539 ],[0.6640606  0.40436971]
[0.34999926 0.2189727 ],[0.75000029 0.25022264],[0.66406048 0.40373847]
[0.34999921 0.2183214 ],[0.75000031 0.24957135],[0.66406035 0.40308719]
[0.34999916 0.21765007],[0.75000033 0.24890001],[0.66406022 0.40241586]
[0.34999911 0.2169587 ],[0.75000035 0.24820864],[0.66406008 0.4017245 ]
[0.34999906 0.21624728],[0.75000037 0.24749722],[0.66405994 0.4010131 ]
[0.349999   0.21551583],[0.75000039 0.24676576],[0.6640598  0.40028165]
[0.34999895 0.21476433],[0.75000041 0.24601427],[0.66405965 0.39953017]
[0.34999889 0.2139928 ],[0.75000043 0.24524273],[0.6640595  0.39875865]
[0.34999884 0.21320123],[0.75000046 0.24445116],[0.66405934 0.39796709]
[0.34999878 0.21238962],[0.75000048 0.24363954],[0.66405918 0.39715549]
[0.34999872 0.21155796],[0.7500005  0.24280789],[0.66405902 0.39632385]
[0.34999866 0.21070627],[0.75000053 0.24195619],[0.66405885 0.39547217]
[0.34999859 0.20983454],[0.75000055 0.24108446],[0.66405868 0.39460045]
[0.34999853 0.20894276],[0.75000058 0.24019268],[0.66405851 0.39370869]
