1.0
 
[-1.02548351e-02 -1.99948985e+01],[ 5.08617496e-03 -1.99949490e+01],[ -0.04170191 -19.98745495]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406242 0.41395864]
[0.34999995 0.22914293],[0.75000002 0.2603929 ],[0.66406231 0.41390858]
[0.34999992 0.22907281],[0.75000004 0.26032278],[0.66406217 0.41383848]
[0.34999987 0.22898265],[0.75000006 0.26023262],[0.66406198 0.41374836]
[0.34999982 0.22887246],[0.75000009 0.26012243],[0.66406175 0.4136382 ]
[0.34999975 0.22874223],[0.75000012 0.2599922 ],[0.66406148 0.41350803]
[0.34999967 0.22859197],[0.75000016 0.25984194],[0.66406116 0.41335782]
[0.34999958 0.22842167],[0.75000021 0.25967164],[0.66406081 0.41318759]
[0.34999949 0.22823134],[0.75000025 0.25948131],[0.66406041 0.41299732]
[0.34999938 0.22802098],[0.75000031 0.25927094],[0.66405998 0.41278704]
[0.34999926 0.22779057],[0.75000037 0.25904054],[0.6640595  0.41255672]
[0.34999913 0.22754014],[0.75000043 0.2587901 ],[0.66405897 0.41230638]
[0.34999899 0.22726966],[0.7500005  0.25851963],[0.66405841 0.412036  ]
[0.34999885 0.22697916],[0.75000057 0.25822912],[0.66405781 0.41174561]
[0.34999869 0.22666862],[0.75000065 0.25791858],[0.66405716 0.41143518]
[0.34999852 0.22633804],[0.75000074 0.257588  ],[0.66405647 0.41110473]
[0.34999834 0.22598743],[0.75000082 0.25723739],[0.66405574 0.41075424]
[0.34999815 0.22561678],[0.75000092 0.25686674],[0.66405497 0.41038373]
[0.34999795 0.2252261 ],[0.75000102 0.25647606],[0.66405415 0.4099932 ]
[0.34999774 0.22481538],[0.75000112 0.25606534],[0.6640533  0.40958263]
[0.34999752 0.22438463],[0.75000123 0.25563459],[0.6640524  0.40915204]
[0.34999729 0.22393384],[0.75000135 0.2551838 ],[0.66405146 0.40870142]
[0.34999704 0.22346302],[0.75000147 0.25471298],[0.66405048 0.40823078]
[0.34999679 0.22297217],[0.75000159 0.25422212],[0.66404946 0.4077401 ]
[0.34999653 0.22246128],[0.75000172 0.25371123],[0.66404839 0.4072294 ]
[0.34999626 0.22193035],[0.75000186 0.2531803 ],[0.66404729 0.40669867]
[0.34999598 0.22137939],[0.750002   0.25262934],[0.66404614 0.40614792]
[0.34999568 0.22080839],[0.75000214 0.25205834],[0.66404495 0.40557713]
[0.34999538 0.22021736],[0.75000229 0.25146731],[0.66404372 0.40498632]
[0.34999507 0.21960629],[0.75000245 0.25085624],[0.66404245 0.40437548]
[0.34999475 0.21897519],[0.75000261 0.25022514],[0.66404113 0.40374462]
[0.34999441 0.21832406],[0.75000277 0.249574  ],[0.66403978 0.40309372]
[0.34999407 0.21765289],[0.75000294 0.24890283],[0.66403838 0.4024228 ]
[0.34999371 0.21696168],[0.75000312 0.24821162],[0.66403694 0.40173185]
[0.34999335 0.21625044],[0.7500033  0.24750038],[0.66403546 0.40102088]
[0.34999298 0.21551916],[0.75000348 0.2467691 ],[0.66403393 0.40028987]
[0.34999259 0.21476785],[0.75000367 0.24601779],[0.66403237 0.39953884]
[0.3499922  0.21399651],[0.75000387 0.24524644],[0.66403076 0.39876778]
[0.34999179 0.21320513],[0.75000407 0.24445506],[0.66402911 0.39797669]
[0.34999137 0.21239371],[0.75000428 0.24364364],[0.66402742 0.39716558]
[0.34999095 0.21156226],[0.75000449 0.24281218],[0.66402569 0.39633444]
[0.34999051 0.21071077],[0.75000471 0.2419607 ],[0.66402392 0.39548327]
[0.34999007 0.20983925],[0.75000493 0.24108917],[0.6640221  0.39461207]
[0.34998961 0.2089477 ],[0.75000515 0.24019762],[0.66402025 0.39372085]
