1.0
 
[-7.24094269e-03 -1.99965654e+01],[ 3.53957941e-03 -1.99966154e+01],[ -0.02877677 -19.99156177]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919302],[0.75000001 0.26044299],[0.66406244 0.41395864]
[0.34999997 0.22914293],[0.75000002 0.26039289],[0.66406237 0.41390856]
[0.34999994 0.2290728 ],[0.75000003 0.26032277],[0.66406227 0.41383845]
[0.34999991 0.22898263],[0.75000004 0.2602326 ],[0.66406214 0.4137483 ]
[0.34999987 0.22887243],[0.75000006 0.2601224 ],[0.66406198 0.41363813]
[0.34999982 0.22874219],[0.75000009 0.25999216],[0.66406179 0.41350793]
[0.34999977 0.22859192],[0.75000011 0.25984189],[0.66406158 0.41335769]
[0.34999971 0.22842161],[0.75000014 0.25967157],[0.66406133 0.41318742]
[0.34999964 0.22823126],[0.75000018 0.25948123],[0.66406106 0.41299712]
[0.34999956 0.22802087],[0.75000021 0.25927084],[0.66406076 0.41278679]
[0.34999948 0.22779045],[0.75000025 0.25904042],[0.66406043 0.41255642]
[0.34999939 0.22754   ],[0.7500003  0.25878996],[0.66406007 0.41230603]
[0.34999929 0.2272695 ],[0.75000035 0.25851947],[0.66405968 0.4120356 ]
[0.34999919 0.22697897],[0.7500004  0.25822893],[0.66405926 0.41174514]
[0.34999907 0.2266684 ],[0.75000045 0.25791837],[0.66405882 0.41143465]
[0.34999895 0.2263378 ],[0.75000051 0.25758776],[0.66405834 0.41110413]
[0.34999883 0.22598716],[0.75000057 0.25723712],[0.66405784 0.41075358]
[0.34999869 0.22561648],[0.75000064 0.25686644],[0.66405731 0.41038299]
[0.34999855 0.22522576],[0.75000071 0.25647572],[0.66405674 0.40999238]
[0.3499984  0.22481501],[0.75000078 0.25606497],[0.66405615 0.40958173]
[0.34999825 0.22438423],[0.75000086 0.25563418],[0.66405554 0.40915105]
[0.34999808 0.2239334 ],[0.75000094 0.25518336],[0.66405489 0.40870034]
[0.34999791 0.22346254],[0.75000102 0.2547125 ],[0.66405421 0.40822959]
[0.34999774 0.22297164],[0.75000111 0.2542216 ],[0.66405351 0.40773882]
[0.34999755 0.22246071],[0.7500012  0.25371066],[0.66405277 0.40722801]
[0.34999736 0.22192974],[0.75000129 0.25317969],[0.66405201 0.40669717]
[0.34999716 0.22137873],[0.75000139 0.25262868],[0.66405122 0.4061463 ]
[0.34999695 0.22080769],[0.75000149 0.25205764],[0.6640504 0.4055754]
[0.34999674 0.22021661],[0.75000159 0.25146656],[0.66404955 0.40498447]
[0.34999652 0.21960549],[0.7500017  0.25085544],[0.66404867 0.40437351]
[0.34999629 0.21897434],[0.75000181 0.25022428],[0.66404776 0.40374251]
[0.34999606 0.21832315],[0.75000193 0.24957309],[0.66404683 0.40309148]
[0.34999581 0.21765192],[0.75000205 0.24890186],[0.66404586 0.40242042]
[0.34999556 0.21696066],[0.75000217 0.2482106 ],[0.66404487 0.40172933]
[0.34999531 0.21624936],[0.75000229 0.24749929],[0.66404385 0.40101821]
[0.34999504 0.21551802],[0.75000242 0.24676796],[0.6640428  0.40028705]
[0.34999477 0.21476665],[0.75000256 0.24601658],[0.66404172 0.39953587]
[0.34999449 0.21399524],[0.75000269 0.24524517],[0.66404061 0.39876465]
[0.34999421 0.21320379],[0.75000283 0.24445372],[0.66403948 0.3979734 ]
[0.34999391 0.21239231],[0.75000298 0.24364223],[0.66403831 0.39716212]
[0.34999361 0.21156079],[0.75000312 0.24281071],[0.66403712 0.39633081]
[0.3499933  0.21070923],[0.75000327 0.24195915],[0.66403589 0.39547947]
[0.34999299 0.20983764],[0.75000343 0.24108756],[0.66403464 0.39460809]
[0.34999267 0.20894601],[0.75000358 0.24019593],[0.66403336 0.39371668]
