1.0
 
[-1.10082409e-02 -1.99944818e+01],[ 5.47284108e-03 -1.99945324e+01],[ -0.04493244 -19.98642839]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406241 0.41395865]
[0.34999995 0.22914293],[0.75000002 0.2603929 ],[0.6640623  0.41390858]
[0.34999991 0.22907281],[0.75000004 0.26032278],[0.66406214 0.41383849]
[0.34999986 0.22898266],[0.75000007 0.26023263],[0.66406194 0.41374837]
[0.3499998  0.22887247],[0.7500001  0.26012244],[0.66406169 0.41363822]
[0.34999973 0.22874224],[0.75000013 0.25999221],[0.6640614  0.41350805]
[0.34999965 0.22859198],[0.75000018 0.25984195],[0.66406106 0.41335785]
[0.34999955 0.22842169],[0.75000022 0.25967166],[0.66406068 0.41318763]
[0.34999945 0.22823136],[0.75000027 0.25948133],[0.66406025 0.41299738]
[0.34999933 0.228021  ],[0.75000033 0.25927097],[0.66405978 0.4127871 ]
[0.34999921 0.2277906 ],[0.75000039 0.25904057],[0.66405926 0.41255679]
[0.34999907 0.22754017],[0.75000046 0.25879014],[0.6640587  0.41230646]
[0.34999892 0.22726971],[0.75000054 0.25851967],[0.66405809 0.41203611]
[0.34999876 0.2269792 ],[0.75000062 0.25822917],[0.66405744 0.41174572]
[0.34999859 0.22666867],[0.7500007  0.25791863],[0.66405674 0.41143531]
[0.34999841 0.2263381 ],[0.75000079 0.25758806],[0.664056   0.41110487]
[0.34999822 0.22598749],[0.75000089 0.25723746],[0.66405522 0.41075441]
[0.34999801 0.22561686],[0.75000099 0.25686682],[0.66405438 0.41038392]
[0.3499978  0.22522618],[0.7500011  0.25647614],[0.66405351 0.4099934 ]
[0.34999757 0.22481547],[0.75000121 0.25606543],[0.66405258 0.40958286]
[0.34999733 0.22438473],[0.75000133 0.25563469],[0.66405162 0.40915229]
[0.34999709 0.22393395],[0.75000145 0.25518391],[0.66405061 0.4087017 ]
[0.34999683 0.22346314],[0.75000158 0.2547131 ],[0.66404955 0.40823107]
[0.34999656 0.2229723 ],[0.75000171 0.25422225],[0.66404845 0.40774043]
[0.34999628 0.22246142],[0.75000185 0.25371137],[0.6640473  0.40722975]
[0.34999598 0.2219305 ],[0.750002   0.25318045],[0.66404611 0.40669905]
[0.34999568 0.22137955],[0.75000215 0.2526295 ],[0.66404487 0.40614832]
[0.34999537 0.22080857],[0.7500023  0.25205852],[0.66404359 0.40557757]
[0.34999504 0.22021755],[0.75000246 0.2514675 ],[0.66404226 0.40498678]
[0.34999471 0.21960649],[0.75000263 0.25085644],[0.66404089 0.40437598]
[0.34999436 0.21897541],[0.7500028  0.25022535],[0.66403948 0.40374514]
[0.349994   0.21832428],[0.75000298 0.24957423],[0.66403801 0.40309428]
[0.34999363 0.21765313],[0.75000317 0.24890307],[0.66403651 0.4024234 ]
[0.34999325 0.21696194],[0.75000335 0.24821187],[0.66403496 0.40173248]
[0.34999286 0.21625071],[0.75000355 0.24750065],[0.66403336 0.40102154]
[0.34999246 0.21551945],[0.75000375 0.24676938],[0.66403172 0.40029058]
[0.34999205 0.21476815],[0.75000395 0.24601809],[0.66403003 0.39953958]
[0.34999162 0.21399682],[0.75000417 0.24524676],[0.6640283  0.39876856]
[0.34999119 0.21320546],[0.75000438 0.24445539],[0.66402653 0.39797752]
[0.34999074 0.21239406],[0.7500046  0.24364399],[0.6640247  0.39716644]
[0.34999028 0.21156263],[0.75000483 0.24281255],[0.66402284 0.39633535]
[0.34998981 0.21071116],[0.75000506 0.24196108],[0.66402093 0.39548422]
[0.34998933 0.20983966],[0.7500053  0.24108958],[0.66401897 0.39461307]
[0.34998884 0.20894812],[0.75000555 0.24019804],[0.66401697 0.39372189]
