1.0
 
[-4.85479782e-03 -1.99978852e+01],[ 2.31501100e-03 -1.99979348e+01],[-1.85409671e-02 -1.99948137e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406246 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406242 0.41390854]
[0.34999996 0.22907279],[0.75000002 0.26032276],[0.66406235 0.41383842]
[0.34999994 0.22898262],[0.75000003 0.26023259],[0.66406227 0.41374826]
[0.34999991 0.22887241],[0.75000004 0.26012238],[0.66406217 0.41363807]
[0.34999988 0.22874216],[0.75000006 0.25999213],[0.66406205 0.41350785]
[0.34999984 0.22859188],[0.75000007 0.25984184],[0.66406191 0.41335758]
[0.3499998  0.22842155],[0.75000009 0.25967152],[0.66406175 0.41318729]
[0.34999976 0.22823119],[0.75000012 0.25948116],[0.66406157 0.41299696]
[0.34999971 0.22802079],[0.75000014 0.25927076],[0.66406138 0.41278659]
[0.34999965 0.22779036],[0.75000017 0.25904032],[0.66406117 0.41255619]
[0.34999959 0.22753988],[0.7500002  0.25878985],[0.66406093 0.41230575]
[0.34999952 0.22726937],[0.75000023 0.25851934],[0.66406068 0.41203528]
[0.34999945 0.22697882],[0.75000026 0.25822879],[0.66406042 0.41174478]
[0.34999938 0.22666823],[0.7500003 0.2579182],[0.66406013 0.41143424]
[0.3499993  0.22633761],[0.75000033 0.25758757],[0.66405982 0.41110366]
[0.34999921 0.22598694],[0.75000037 0.2572369 ],[0.6640595  0.41075305]
[0.34999912 0.22561624],[0.75000042 0.2568662 ],[0.66405916 0.4103824 ]
[0.34999903 0.2252255 ],[0.75000046 0.25647546],[0.6640588  0.40999172]
[0.34999893 0.22481472],[0.75000051 0.25606468],[0.66405842 0.40958101]
[0.34999883 0.22438391],[0.75000056 0.25563386],[0.66405802 0.40915026]
[0.34999872 0.22393305],[0.75000061 0.25518301],[0.6640576  0.40869947]
[0.3499986  0.22346216],[0.75000067 0.25471212],[0.66405717 0.40822865]
[0.34999848 0.22297123],[0.75000072 0.25422119],[0.66405671 0.4077378 ]
[0.34999836 0.22246026],[0.75000078 0.25371022],[0.66405624 0.40722691]
[0.34999823 0.22192926],[0.75000084 0.25317921],[0.66405575 0.40669599]
[0.3499981  0.22137821],[0.75000091 0.25262816],[0.66405524 0.40614503]
[0.34999796 0.22080713],[0.75000097 0.25205708],[0.66405471 0.40557403]
[0.34999782 0.22021601],[0.75000104 0.25146596],[0.66405416 0.404983  ]
[0.34999767 0.21960486],[0.75000111 0.2508548 ],[0.6640536  0.40437194]
[0.34999752 0.21897366],[0.75000118 0.25022361],[0.66405302 0.40374084]
[0.34999736 0.21832243],[0.75000126 0.24957237],[0.66405241 0.40308971]
[0.3499972  0.21765116],[0.75000134 0.2489011 ],[0.66405179 0.40241854]
[0.34999703 0.21695985],[0.75000142 0.24820979],[0.66405115 0.40172734]
[0.34999686 0.2162485 ],[0.7500015  0.24749844],[0.6640505 0.4010161]
[0.34999668 0.21551711],[0.75000158 0.24676705],[0.66404982 0.40028482]
[0.3499965  0.21476569],[0.75000167 0.24601563],[0.66404913 0.39953352]
[0.34999631 0.21399423],[0.75000176 0.24524416],[0.66404841 0.39876217]
[0.34999612 0.21320273],[0.75000185 0.24445266],[0.66404768 0.3979708 ]
[0.34999592 0.21239119],[0.75000194 0.24364112],[0.66404693 0.39715938]
[0.34999572 0.21155962],[0.75000204 0.24280955],[0.66404616 0.39632794]
[0.34999551 0.21070801],[0.75000214 0.24195793],[0.66404537 0.39547645]
[0.3499953  0.20983636],[0.75000224 0.24108628],[0.66404457 0.39460494]
[0.34999509 0.20894467],[0.75000234 0.24019459],[0.66404374 0.39371338]
