1.0
 
[-8.12004421e-03 -1.99960792e+01],[ 3.99060415e-03 -1.99961294e+01],[ -0.03254705 -19.99036386]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406248 0.41398868]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406243 0.41395864]
[0.34999996 0.22914293],[0.75000002 0.2603929 ],[0.66406235 0.41390856]
[0.34999994 0.2290728 ],[0.75000003 0.26032277],[0.66406224 0.41383846]
[0.3499999  0.22898264],[0.75000005 0.26023261],[0.66406209 0.41374832]
[0.34999985 0.22887244],[0.75000007 0.26012241],[0.66406191 0.41363815]
[0.3499998 0.2287422],[0.7500001  0.25999217],[0.6640617  0.41350795]
[0.34999974 0.22859193],[0.75000013 0.2598419 ],[0.66406146 0.41335773]
[0.34999967 0.22842163],[0.75000016 0.25967159],[0.66406118 0.41318747]
[0.34999959 0.22823128],[0.7500002  0.25948125],[0.66406087 0.41299718]
[0.34999951 0.2280209 ],[0.75000024 0.25927087],[0.66406053 0.41278686]
[0.34999942 0.22779049],[0.75000029 0.25904045],[0.66406016 0.41255651]
[0.34999931 0.22754004],[0.75000034 0.25879   ],[0.66405975 0.41230613]
[0.3499992  0.22726955],[0.75000039 0.25851951],[0.66405931 0.41203572]
[0.34999909 0.22697902],[0.75000045 0.25822899],[0.66405884 0.41174528]
[0.34999896 0.22666846],[0.75000051 0.25791843],[0.66405833 0.41143481]
[0.34999883 0.22633787],[0.75000058 0.25758783],[0.6640578 0.4111043]
[0.34999868 0.22598724],[0.75000065 0.2572372 ],[0.66405723 0.41075377]
[0.34999853 0.22561657],[0.75000072 0.25686653],[0.66405662 0.41038321]
[0.34999838 0.22522586],[0.7500008  0.25647582],[0.66405599 0.40999262]
[0.34999821 0.22481512],[0.75000088 0.25606508],[0.66405532 0.40958199]
[0.34999803 0.22438434],[0.75000097 0.2556343 ],[0.66405462 0.40915134]
[0.34999785 0.22393353],[0.75000106 0.25518349],[0.66405389 0.40870065]
[0.34999766 0.22346268],[0.75000115 0.25471264],[0.66405312 0.40822994]
[0.34999746 0.2229718 ],[0.75000125 0.25422175],[0.66405233 0.40773919]
[0.34999725 0.22246088],[0.75000135 0.25371083],[0.6640515  0.40722842]
[0.34999704 0.22192992],[0.75000146 0.25317987],[0.66405063 0.40669761]
[0.34999682 0.22137892],[0.75000156 0.25262887],[0.66404974 0.40614677]
[0.34999658 0.22080789],[0.75000168 0.25205784],[0.66404881 0.40557591]
[0.34999634 0.22021683],[0.7500018  0.25146678],[0.66404785 0.40498501]
[0.3499961  0.21960573],[0.75000192 0.25085567],[0.66404686 0.40437408]
[0.34999584 0.21897459],[0.75000204 0.25022453],[0.66404583 0.40374312]
[0.34999558 0.21832341],[0.75000217 0.24957336],[0.66404477 0.40309214]
[0.3499953 0.2176522],[0.75000231 0.24890214],[0.66404368 0.40242112]
[0.34999502 0.21696096],[0.75000245 0.24821089],[0.66404256 0.40173007]
[0.34999474 0.21624967],[0.75000259 0.24749961],[0.6640414  0.40101899]
[0.34999444 0.21551835],[0.75000273 0.24676829],[0.66404021 0.40028788]
[0.34999413 0.214767  ],[0.75000288 0.24601693],[0.66403899 0.39953674]
[0.34999382 0.21399561],[0.75000304 0.24524554],[0.66403774 0.39876556]
[0.3499935  0.21320418],[0.75000319 0.24445411],[0.66403645 0.39797436]
[0.34999317 0.21239272],[0.75000336 0.24364264],[0.66403513 0.39716313]
[0.34999283 0.21156122],[0.75000352 0.24281114],[0.66403378 0.39633187]
[0.34999249 0.21070968],[0.75000369 0.2419596 ],[0.6640324  0.39548058]
[0.34999214 0.20983811],[0.75000386 0.24108803],[0.66403098 0.39460925]
[0.34999177 0.2089465 ],[0.75000404 0.24019642],[0.66402953 0.3937179 ]
