1.0
 
[-1.11338052e-02 -1.99944123e+01],[ 5.53728997e-03 -1.99944630e+01],[ -0.04547085 -19.98625731]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999999 0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406241 0.41395865]
[0.34999995 0.22914293],[0.75000002 0.2603929 ],[0.6640623  0.41390858]
[0.34999991 0.22907281],[0.75000004 0.26032278],[0.66406214 0.41383849]
[0.34999986 0.22898266],[0.75000007 0.26023263],[0.66406193 0.41374837]
[0.3499998  0.22887247],[0.7500001  0.26012244],[0.66406168 0.41363823]
[0.34999973 0.22874225],[0.75000014 0.25999221],[0.66406139 0.41350806]
[0.34999964 0.22859199],[0.75000018 0.25984196],[0.66406104 0.41335786]
[0.34999955 0.22842169],[0.75000022 0.25967166],[0.66406066 0.41318763]
[0.34999944 0.22823137],[0.75000028 0.25948133],[0.66406022 0.41299738]
[0.34999933 0.228021  ],[0.75000034 0.25927097],[0.66405975 0.41278711]
[0.3499992  0.22779061],[0.7500004  0.25904057],[0.66405922 0.41255681]
[0.34999906 0.22754018],[0.75000047 0.25879014],[0.66405865 0.41230648]
[0.34999891 0.22726971],[0.75000054 0.25851968],[0.66405804 0.41203612]
[0.34999875 0.22697921],[0.75000062 0.25822918],[0.66405738 0.41174574]
[0.34999857 0.22666868],[0.75000071 0.25791864],[0.66405667 0.41143533]
[0.34999839 0.22633811],[0.7500008  0.25758807],[0.66405592 0.4111049 ]
[0.34999819 0.22598751],[0.7500009  0.25723747],[0.66405513 0.41075444]
[0.34999799 0.22561687],[0.750001   0.25686683],[0.66405429 0.41038395]
[0.34999777 0.2252262 ],[0.75000111 0.25647616],[0.6640534  0.40999344]
[0.34999754 0.22481549],[0.75000122 0.25606545],[0.66405247 0.4095829 ]
[0.3499973  0.22438475],[0.75000134 0.25563471],[0.66405149 0.40915233]
[0.34999705 0.22393397],[0.75000147 0.25518393],[0.66405046 0.40870174]
[0.34999679 0.22346316],[0.7500016  0.25471312],[0.66404939 0.40823112]
[0.34999652 0.22297232],[0.75000173 0.25422227],[0.66404828 0.40774048]
[0.34999623 0.22246144],[0.75000187 0.25371139],[0.66404712 0.40722981]
[0.34999594 0.22193053],[0.75000202 0.25318048],[0.66404591 0.40669911]
[0.34999563 0.22137958],[0.75000217 0.25262953],[0.66404466 0.40614839]
[0.34999531 0.2208086 ],[0.75000233 0.25205854],[0.66404336 0.40557764]
[0.34999499 0.22021758],[0.75000249 0.25146753],[0.66404202 0.40498686]
[0.34999465 0.21960653],[0.75000266 0.25085647],[0.66404063 0.40437606]
[0.34999429 0.21897544],[0.75000284 0.25022539],[0.6640392  0.40374523]
[0.34999393 0.21832432],[0.75000302 0.24957426],[0.66403772 0.40309438]
[0.34999356 0.21765317],[0.7500032  0.24890311],[0.6640362  0.40242349]
[0.34999317 0.21696198],[0.75000339 0.24821192],[0.66403463 0.40173259]
[0.34999278 0.21625075],[0.75000359 0.24750069],[0.66403301 0.40102165]
[0.34999237 0.2155195 ],[0.75000379 0.24676943],[0.66403135 0.40029069]
[0.34999195 0.2147682 ],[0.750004   0.24601814],[0.66402964 0.39953971]
[0.34999153 0.21399688],[0.75000421 0.24524681],[0.66402789 0.39876869]
[0.34999109 0.21320552],[0.75000443 0.24445544],[0.66402609 0.39797765]
[0.34999063 0.21239412],[0.75000466 0.24364405],[0.66402425 0.39716659]
[0.34999017 0.21156269],[0.75000489 0.24281261],[0.66402236 0.3963355 ]
[0.3499897  0.21071122],[0.75000512 0.24196115],[0.66402043 0.39548438]
[0.34998921 0.20983972],[0.75000536 0.24108965],[0.66401845 0.39461323]
[0.34998872 0.20894819],[0.75000561 0.24019811],[0.66401642 0.39372206]
