1.0
 
[-4.10123262e-03 -1.99983019e+01],[ 1.92829936e-03 -1.99983514e+01],[-1.53079988e-02 -1.99958407e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406247 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406243 0.41390854]
[0.34999997 0.22907278],[0.75000002 0.26032275],[0.66406238 0.41383841]
[0.34999995 0.22898261],[0.75000002 0.26023258],[0.66406231 0.41374825]
[0.34999993 0.2288724 ],[0.75000003 0.26012237],[0.66406222 0.41363805]
[0.3499999  0.22874215],[0.75000005 0.25999212],[0.66406213 0.41350782]
[0.34999987 0.22859186],[0.75000006 0.25984183],[0.66406201 0.41335755]
[0.34999983 0.22842154],[0.75000008 0.2596715 ],[0.66406188 0.41318725]
[0.3499998  0.22823117],[0.7500001  0.25948114],[0.66406174 0.4129969 ]
[0.34999975 0.22802077],[0.75000012 0.25927074],[0.66406158 0.41278653]
[0.34999971 0.22779033],[0.75000014 0.25904029],[0.6640614  0.41255611]
[0.34999965 0.22753985],[0.75000016 0.25878981],[0.66406121 0.41230567]
[0.3499996  0.22726933],[0.75000019 0.2585193 ],[0.664061   0.41203518]
[0.34999954 0.22697877],[0.75000022 0.25822874],[0.66406078 0.41174466]
[0.34999948 0.22666818],[0.75000025 0.25791814],[0.66406054 0.4114341 ]
[0.34999941 0.22633755],[0.75000028 0.25758751],[0.66406029 0.41110351]
[0.34999934 0.22598687],[0.75000031 0.25723684],[0.66406002 0.41075288]
[0.34999926 0.22561617],[0.75000035 0.25686613],[0.66405974 0.41038222]
[0.34999918 0.22522542],[0.75000039 0.25647538],[0.66405944 0.40999152]
[0.3499991  0.22481463],[0.75000042 0.25606459],[0.66405913 0.40958078]
[0.34999901 0.22438381],[0.75000047 0.25563376],[0.6640588  0.40915001]
[0.34999892 0.22393294],[0.75000051 0.2551829 ],[0.66405846 0.4086992 ]
[0.34999882 0.22346204],[0.75000055 0.254712  ],[0.6640581  0.40822836]
[0.34999872 0.2229711 ],[0.7500006  0.25422106],[0.66405772 0.40773748]
[0.34999862 0.22246012],[0.75000065 0.25371008],[0.66405733 0.40722656]
[0.34999851 0.22192911],[0.7500007  0.25317906],[0.66405693 0.40669561]
[0.34999839 0.22137805],[0.75000075 0.252628  ],[0.66405651 0.40614462]
[0.34999828 0.22080696],[0.75000081 0.25205691],[0.66405607 0.4055736 ]
[0.34999816 0.22021583],[0.75000087 0.25146577],[0.66405562 0.40498254]
[0.34999803 0.21960466],[0.75000093 0.2508546 ],[0.66405516 0.40437145]
[0.3499979  0.21897345],[0.75000099 0.25022339],[0.66405467 0.40374031]
[0.34999777 0.2183222 ],[0.75000105 0.24957214],[0.66405418 0.40308915]
[0.34999763 0.21765091],[0.75000111 0.24890086],[0.66405367 0.40241794]
[0.34999749 0.21695959],[0.75000118 0.24820953],[0.66405314 0.40172671]
[0.34999735 0.21624823],[0.75000125 0.24749817],[0.6640526  0.40101543]
[0.3499972  0.21551683],[0.75000132 0.24676676],[0.66405204 0.40028412]
[0.34999704 0.21476539],[0.75000139 0.24601532],[0.66405146 0.39953277]
[0.34999688 0.21399391],[0.75000146 0.24524385],[0.66405088 0.39876139]
[0.34999672 0.2132024 ],[0.75000154 0.24445233],[0.66405027 0.39796997]
[0.34999656 0.21239084],[0.75000162 0.24364077],[0.66404965 0.39715852]
[0.34999639 0.21155925],[0.7500017  0.24280918],[0.66404902 0.39632703]
[0.34999621 0.21070762],[0.75000178 0.24195755],[0.66404837 0.3954755 ]
[0.34999603 0.20983595],[0.75000186 0.24108587],[0.6640477  0.39460394]
[0.34999585 0.20894424],[0.75000195 0.24019416],[0.66404702 0.39371234]
