1.0
 
[-7.36652894e-03 -1.99964960e+01],[ 3.6040136e-03 -1.9996546e+01],[ -0.0293154  -19.99139064]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919302],[0.75000001 0.26044299],[0.66406244 0.41395864]
[0.34999997 0.22914293],[0.75000002 0.2603929 ],[0.66406237 0.41390856]
[0.34999994 0.2290728 ],[0.75000003 0.26032277],[0.66406227 0.41383845]
[0.34999991 0.22898263],[0.75000005 0.2602326 ],[0.66406213 0.41374831]
[0.34999987 0.22887243],[0.75000006 0.2601224 ],[0.66406197 0.41363813]
[0.34999982 0.22874219],[0.75000009 0.25999216],[0.66406178 0.41350793]
[0.34999976 0.22859192],[0.75000012 0.25984189],[0.66406156 0.41335769]
[0.3499997  0.22842161],[0.75000015 0.25967158],[0.66406131 0.41318743]
[0.34999963 0.22823126],[0.75000018 0.25948123],[0.66406103 0.41299713]
[0.34999955 0.22802088],[0.75000022 0.25927085],[0.66406073 0.4127868 ]
[0.34999947 0.22779046],[0.75000026 0.25904042],[0.66406039 0.41255644]
[0.34999938 0.22754   ],[0.7500003  0.25878997],[0.66406002 0.41230604]
[0.34999928 0.22726951],[0.75000035 0.25851947],[0.66405963 0.41203562]
[0.34999917 0.22697898],[0.75000041 0.25822894],[0.6640592  0.41174516]
[0.34999906 0.22666841],[0.75000046 0.25791837],[0.66405875 0.41143467]
[0.34999894 0.22633781],[0.75000052 0.25758777],[0.66405826 0.41110416]
[0.34999881 0.22598717],[0.75000058 0.25723713],[0.66405775 0.4107536 ]
[0.34999867 0.22561649],[0.75000065 0.25686645],[0.66405721 0.41038302]
[0.34999853 0.22522578],[0.75000072 0.25647574],[0.66405664 0.40999241]
[0.34999838 0.22481503],[0.75000079 0.25606499],[0.66405603 0.40958177]
[0.34999822 0.22438424],[0.75000087 0.2556342 ],[0.6640554  0.40915109]
[0.34999805 0.22393342],[0.75000095 0.25518338],[0.66405474 0.40870038]
[0.34999788 0.22346256],[0.75000104 0.25471252],[0.66405406 0.40822964]
[0.3499977  0.22297167],[0.75000113 0.25422162],[0.66405334 0.40773887]
[0.34999751 0.22246073],[0.75000122 0.25371069],[0.66405259 0.40722807]
[0.34999731 0.22192977],[0.75000131 0.25317972],[0.66405181 0.40669724]
[0.34999711 0.22137876],[0.75000141 0.25262871],[0.66405101 0.40614637]
[0.3499969  0.22080772],[0.75000152 0.25205767],[0.66405017 0.40557548]
[0.34999668 0.22021664],[0.75000162 0.25146659],[0.66404931 0.40498455]
[0.34999646 0.21960552],[0.75000173 0.25085547],[0.66404841 0.40437359]
[0.34999623 0.21897437],[0.75000185 0.25022432],[0.66404749 0.4037426 ]
[0.34999599 0.21832319],[0.75000196 0.24957313],[0.66404654 0.40309158]
[0.34999574 0.21765196],[0.75000208 0.2489019 ],[0.66404555 0.40242052]
[0.34999549 0.2169607 ],[0.75000221 0.24821064],[0.66404454 0.40172944]
[0.34999523 0.2162494 ],[0.75000234 0.24749934],[0.6640435  0.40101832]
[0.34999496 0.21551807],[0.75000247 0.246768  ],[0.66404243 0.40028717]
[0.34999468 0.2147667 ],[0.7500026  0.24601663],[0.66404133 0.39953599]
[0.3499944  0.21399529],[0.75000274 0.24524522],[0.6640402  0.39876478]
[0.34999411 0.21320385],[0.75000288 0.24445378],[0.66403904 0.39797354]
[0.34999381 0.21239236],[0.75000303 0.24364229],[0.66403786 0.39716227]
[0.3499935  0.21156085],[0.75000318 0.24281077],[0.66403664 0.39633096]
[0.34999319 0.21070929],[0.75000333 0.24195922],[0.66403539 0.39547962]
[0.34999287 0.2098377 ],[0.75000349 0.24108763],[0.66403412 0.39460826]
[0.34999254 0.20894608],[0.75000365 0.240196  ],[0.66403281 0.39371686]
